id,sub_category,category,last_updated_at
1,Accessories,Technology,2024-12-13
2,Appliances,Office Supplies,2024-12-13
3,Art,Office Supplies,2024-12-13
4,Binders,Office Supplies,2024-12-13
5,Bookcases,Furniture,2024-12-13
6,Chairs,Furniture,2024-12-13
7,Copiers,Technology,2024-12-13
8,Envelopes,Office Supplies,2024-12-13
9,Fasteners,Office Supplies,2024-12-13
10,Furnishings,Furniture,2024-12-13
11,Labels,Office Supplies,2024-12-13
12,Machines,Technology,2024-12-13
13,Paper,Office Supplies,2024-12-13
14,Phones,Technology,2024-12-13
15,Storage,Office Supplies,2024-12-13
16,Supplies,Office Supplies,2024-12-13
17,Tables,Furniture,2024-12-13